country,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Afghanistan,2010,4.75838089,7.3866286279999995,0.539075196,51.59999847,0.60012722,0.13435255,0.706766069
Albania,2010,5.268936634,9.20303154,0.73315227,66.40000153,0.568958402,-0.17536652100000003,0.726261675
Algeria,2010,5.46356678,9.462700844,,64.5,0.592695832,-0.229078397,0.618037879
Argentina,2010,6.441067219,9.836923599,0.926798582,67.30000305,0.730258167,-0.121725284,0.8546954390000001
Armenia,2010,4.3678112030000005,8.810287476000001,0.660342336,65.19999695,0.459256709,-0.16207508699999998,0.890629232
Australia,2010,7.450047016,10.63258171,0.95451957,72.19999695,0.932058573,0.308317155,0.36612740200000005
Austria,2010,7.302678585,10.67674351,0.9141933320000001,71.40000153,0.8959797620000001,0.129111528,0.546144843
Azerbaijan,2010,4.218610764,9.677229881,0.68700099,63.40000153,0.501071095,-0.14282578199999998,0.8583466409999999
Bahrain,2010,5.936869144,10.61079693,0.877115071,66.30000305,0.8620029090000001,-0.008562588000000001,0.714620173
Bangladesh,2010,4.858481407,7.8008713720000005,0.5493984820000001,60.70000076,0.659005642,-0.010436200999999999,0.7735304829999999
Belarus,2010,5.525923252,9.694934845,0.918000162,62.29999924,0.700064421,-0.17001006,0.70612061
Belgium,2010,6.853514194,10.62342072,0.930570185,70.80000305,0.806930244,0.018612977,0.697365582
Bolivia,2010,5.780620097999999,8.595536232,0.80718559,61.0,0.703341067,-0.062640615,0.781342506
Bosnia and Herzegovina,2010,4.66851759,9.181976318,0.772753716,66.69999695,0.364966899,-0.12885692699999998,0.9330300690000001
Botswana,2010,3.553020239,9.498086929,0.865624785,52.90000153,0.82621938,-0.150064006,0.813985407
Brazil,2010,6.837331295,9.58449173,0.9055281279999999,64.5,0.8059492709999999,-0.063952617,0.6560360789999999
Bulgaria,2010,3.9122762680000003,9.634515762000001,0.84327203,65.69999695,0.544536412,-0.14665225099999998,0.9409700040000001
Burkina Faso,2010,4.035560608,7.2607879639999995,0.773103535,49.70000076,0.586580753,-0.026842573999999998,0.767335117
Cambodia,2010,4.141072273,7.833174706,0.69716382,58.5,0.940131187,0.34896671799999995,0.895714462
Cameroon,2010,4.554256916,7.982699394,0.7586407070000001,48.29999924,0.792220175,-0.0006272319999999999,0.8747186659999999
Canada,2010,7.650346279,10.6139679,0.9537654520000001,72.19999695,0.933948815,0.22300235899999998,0.412659585
Central African Republic,2010,3.5678925510000004,6.781221867,0.483333886,42.70000076,0.689950883,-0.016758975,0.845376968
Chad,2010,3.7428710460000003,7.562782764,0.733713627,45.09999847,0.504612565,0.012044691000000001,0.857664049
Chile,2010,6.63565588,9.875193596,0.85695523,68.90000153,0.7863674759999999,0.099339187,0.701824725
China,2010,4.652736664,9.161761283999999,0.767752588,67.59999847,0.8047935959999999,-0.148573548,
Colombia,2010,6.40811348,9.296564102,0.892992675,65.69999695,0.8161211009999999,-0.053958982,0.814524472
Comoros,2010,3.81219101,7.253118515,0.721342921,54.70000076,0.5286752579999999,0.051737364,0.741181731
