,country,year,wins,losses,ties
0,Algeria,2010,0.0,2.0,1.0
1,Argentina,2010,4.0,1.0,0.0
2,Australia,2010,1.0,1.0,1.0
3,Brazil,2010,3.0,1.0,1.0
4,Cameroon,2010,0.0,3.0,0.0
5,Chile,2010,2.0,2.0,0.0
6,Denmark,2010,1.0,2.0,0.0
7,England,2010,1.0,1.0,2.0
8,France,2010,0.0,2.0,1.0
9,Germany,2010,5.0,2.0,0.0
10,Ghana,2010,2.0,1.0,2.0
11,Greece,2010,1.0,2.0,0.0
12,Honduras,2010,0.0,2.0,1.0
13,Italy,2010,0.0,1.0,2.0
14,Ivory Coast,2010,1.0,1.0,1.0
15,Japan,2010,2.0,1.0,1.0
16,Korea DPR,2010,0.0,3.0,0.0
17,Korea Republic,2010,1.0,2.0,1.0
18,Mexico,2010,1.0,2.0,1.0
19,Netherlands,2010,6.0,1.0,0.0
20,New Zealand,2010,0.0,0.0,3.0
21,Nigeria,2010,0.0,2.0,1.0
22,Paraguay,2010,1.0,1.0,3.0
23,Portugal,2010,1.0,1.0,2.0
24,Serbia,2010,1.0,2.0,0.0
25,Slovakia,2010,1.0,2.0,1.0
26,Slovenia,2010,1.0,1.0,1.0
27,South Africa,2010,1.0,1.0,1.0
28,Spain,2010,6.0,1.0,0.0
29,Switzerland,2010,1.0,1.0,1.0
30,USA,2010,1.0,1.0,2.0
31,Uruguay,2010,3.0,2.0,2.0
